Feature,Importance,Importance_Alt
sponsor_delay_rate,0.06982490757230864,0.0694248332349546
agency_class,0.019883823010274467,0.020357598456671837
phase,0.018580654364663492,0.018138348610562672
intervention_type,0.010006893924635432,0.009936947393754156
responsible_party_type,0.009351143460935256,0.00932327900601139
multinational,0.008737951163469464,0.008711792749575141
allocation,0.007851798323448974,0.007749458827422935
log_enrollment,0.00768406002026449,0.0078005618270303
masking,0.007444356478964493,0.007630848849381366
covid_period,0.004244679323525589,0.004240098915050204
healthy_volunteers,0.003480148933102762,0.0034789682999244935
outcome_complexity,0.001306128343259944,0.0012271644577519702
gender,7.294622478795867e-4,8.07260065074459e-4
